Nr,t`s,Ch 00`V,Ch 01`V,Ch 02`V,Ch 03`V
1046		,0.261250,2.631836,-0.795898,0.129883,0.976563
1047		,0.261500,2.773438,-0.874023,0.130371,1.069336
1048		,0.261750,2.885742,-0.947266,0.129395,0.996094
1049		,0.262000,2.988281,-1.025391,0.129395,0.776367
1050		,0.262250,3.085938,-1.113281,0.129883,0.600586
1051		,0.262500,3.149414,-1.196289,0.130859,0.561523
1052		,0.262750,3.178711,-1.269531,0.131836,0.571289
1053		,0.263000,3.178711,-1.323242,0.132324,0.576172
1054		,0.263250,3.159180,-1.386719,0.132324,0.595703
1055		,0.263500,3.120117,-1.450195,0.132813,0.532227
1056		,0.263750,3.051758,-1.503906,0.133301,0.444336
1057		,0.264000,2.963867,-1.552734,0.134277,0.390625
1058		,0.264250,2.841797,-1.586914,0.133789,0.371094
1059		,0.264500,2.705078,-1.630859,0.135742,0.317383
1060		,0.264750,2.558594,-1.679688,0.136719,0.161133
1061		,0.265000,2.407227,-1.723633,0.136719,-0.043945
1062		,0.265250,2.241211,-1.748047,0.136719,-0.244141
1063		,0.265500,2.060547,-1.757813,0.135742,-0.351563
1064		,0.265750,1.865234,-1.767578,0.136230,-0.361328
1065		,0.266000,1.674805,-1.782227,0.137207,-0.283203
1066		,0.266250,1.528320,-1.821289,0.136719,-0.375977
1067		,0.266500,1.381836,-1.855469,0.137207,-0.483398
1068		,0.266750,1.186523,-1.875000,0.137695,-0.566406
1069		,0.267000,0.947266,-1.889648,0.137207,-0.644531
1070		,0.267250,0.673828,-1.918945,0.136719,-0.678711
1071		,0.267500,0.395508,-1.958008,0.139160,-0.620117
1072		,0.267750,0.156250,-2.006836,0.139160,-0.581055
1073		,0.268000,-0.068359,-2.041016,0.140625,-0.683594
1074		,0.268250,-0.322266,-2.075195,0.140625,-0.883789
1075		,0.268500,-0.585938,-2.104492,0.139160,-1.025391
1076		,0.268750,-0.844727,-2.119141,0.139648,-1.044922
1077		,0.269000,-1.098633,-2.114258,0.140137,-0.986328
1078		,0.269250,-1.347656,-2.114258,0.140137,-0.888672
1079		,0.269500,-1.586914,-2.119141,0.141602,-0.844727
1080		,0.269750,-1.801758,-2.109375,0.142578,-0.864258
1081		,0.270000,-1.982422,-2.094727,0.143555,-0.859375
1082		,0.270250,-2.133789,-2.075195,0.143555,-0.815430
1083		,0.270500,-2.275391,-2.055664,0.143066,-0.751953
1084		,0.270750,-2.412109,-2.031250,0.143555,-0.751953
1085		,0.271000,-2.534180,-1.997070,0.144043,-0.830078
1086		,0.271250,-2.641602,-1.962891,0.145020,-0.957031
1087		,0.271500,-2.729492,-1.918945,0.145508,-1.040039
1088		,0.271750,-2.802734,-1.875000,0.145508,-1.010742
1089		,0.272000,-2.875977,-1.840820,0.145020,-0.844727
1090		,0.272250,-3.002930,-1.840820,0.145020,-0.703125
1091		,0.272500,-3.110352,-1.845703,0.144043,-0.698242
1092		,0.272750,-3.154297,-1.826172,0.146484,-0.683594
1093		,0.273000,-3.129883,-1.787109,0.147461,-0.644531
1094		,0.273250,-3.066406,-1.743164,0.148438,-0.595703
1095		,0.273500,-2.993164,-1.718750,0.147461,-0.454102
1096		,0.273750,-2.963867,-1.723633,0.147461,-0.219727
1097		,0.274000,-2.939453,-1.728516,0.147949,-0.151367
1098		,0.274250,-2.875977,-1.699219,0.148926,-0.180664
1099		,0.274500,-2.768555,-1.650391,0.148926,-0.253906
1100		,0.274750,-2.626953,-1.591797,0.148926,-0.253906
1101		,0.275000,-2.456055,-1.528320,0.148438,-0.151367
1102		,0.275250,-2.275391,-1.459961,0.147461,0.034180
1103		,0.275500,-2.070313,-1.381836,0.149902,0.200195
1104		,0.275750,-1.850586,-1.293945,0.149414,0.253906
1105		,0.276000,-1.630859,-1.206055,0.150391,0.302734
1106		,0.276250,-1.420898,-1.142578,0.150879,0.444336
1107		,0.276500,-1.210938,-1.083984,0.152344,0.600586
1108		,0.276750,-0.981445,-1.005859,0.150879,0.683594
1109		,0.277000,-0.742188,-0.927734,0.150391,0.703125
1110		,0.277250,-0.527344,-0.869141,0.154297,0.678711
1111		,0.277500,-0.332031,-0.830078,0.154785,0.649414
1112		,0.277750,-0.146484,-0.786133,0.152832,0.688477
1113		,0.278000,0.073242,-0.727539,0.152832,0.791016
1114		,0.278250,0.356445,-0.644531,0.153320,0.903320
1115		,0.278500,0.654297,-0.556641,0.152344,0.893555
1116		,0.278750,0.917969,-0.478516,0.152344,0.825195
1117		,0.279000,1.147461,-0.410156,0.153809,0.786133
1118		,0.279250,1.372070,-0.346680,0.154297,0.776367
1119		,0.279500,1.616211,-0.283203,0.154785,0.898438
1120		,0.279750,1.860352,-0.229492,0.154785,1.059570
1121		,0.280000,2.070313,-0.170898,0.155273,1.040039
1122		,0.280250,2.246094,-0.107422,0.154785,0.947266
1123		,0.280500,2.397461,-0.048828,0.154785,0.820313
1124		,0.280750,2.524414,0.009766,0.155273,0.751953
1125		,0.281000,2.641602,0.058594,0.155762,0.761719
1126		,0.281250,2.739258,0.126953,0.155273,0.830078
1127		,0.281500,2.812500,0.200195,0.154785,0.820313
1128		,0.281750,2.875977,0.273438,0.154785,0.776367
1129		,0.282000,2.944336,0.341797,0.155762,0.747070
1130		,0.282250,2.998047,0.405273,0.156738,0.820313
1131		,0.282500,3.012695,0.473633,0.157715,0.864258
1132		,0.282750,2.988281,0.551758,0.157227,0.810547
1133		,0.283000,2.944336,0.615234,0.157715,0.678711
1134		,0.283250,2.929688,0.649414,0.158203,0.483398
1135		,0.283500,2.944336,0.664063,0.159180,0.429688
1136		,0.283750,2.919922,0.693359,0.160156,0.410156
1137		,0.284000,2.827148,0.737305,0.160156,0.385742
1138		,0.284250,2.690430,0.810547,0.159668,0.332031
1139		,0.284500,2.539063,0.888672,0.158203,0.161133
1140		,0.284750,2.407227,0.966797,0.159180,-0.087891
1141		,0.285000,2.270508,1.040039,0.160156,-0.190430
1142		,0.285250,2.119141,1.108398,0.162109,-0.117188
1143		,0.285500,1.948242,1.176758,0.162109,-0.029297
1144		,0.285750,1.772461,1.250000,0.161133,-0.102539
1145		,0.286000,1.577148,1.303711,0.161621,-0.249023
1146		,0.286250,1.372070,1.347656,0.161133,-0.400391
1147		,0.286500,1.152344,1.391602,0.161621,-0.546875
1148		,0.286750,0.932617,1.440430,0.163086,-0.590820
1149		,0.287000,0.717773,1.479492,0.163086,-0.644531
1150		,0.287250,0.502930,1.508789,0.163086,-0.756836
1151		,0.287500,0.263672,1.533203,0.163086,-0.874023
1152		,0.287750,0.024414,1.562500,0.162598,-0.878906
1153		,0.288000,-0.209961,1.591797,0.163574,-0.795898
1154		,0.288250,-0.424805,1.606445,0.165527,-0.698242
1155		,0.288500,-0.620117,1.606445,0.164551,-0.693359
1156		,0.288750,-0.834961,1.606445,0.164551,-0.810547
1157		,0.289000,-1.088867,1.630859,0.165039,-0.947266
1158		,0.289250,-1.318359,1.679688,0.165527,-0.903320
1159		,0.289500,-1.499023,1.718750,0.165527,-0.864258
1160		,0.289750,-1.650391,1.743164,0.165527,-0.839844
1161		,0.290000,-1.811523,1.762695,0.166016,-0.839844
1162		,0.290250,-1.992188,1.801758,0.165527,-0.961914
1163		,0.290500,-2.182617,1.855469,0.164551,-1.098633
1164		,0.290750,-2.343750,1.894531,0.165039,-1.030273
1165		,0.291000,-2.480469,1.918945,0.166016,-0.874023
1166		,0.291250,-2.597656,1.938477,0.166504,-0.737305
1167		,0.291500,-2.690430,1.948242,0.166504,-0.703125
1168		,0.291750,-2.758789,1.953125,0.165527,-0.761719
