Nr,t`s,Ch 00`V,Ch 01`V,Ch 02`V,Ch 03`V
91		,0.022500,0.000000,0.000000,-0.035645,0.000000
92		,0.022750,0.000000,0.000000,-0.034180,0.000000
93		,0.023000,0.000000,0.000000,-0.036133,0.000000
94		,0.023250,0.000000,0.000000,-0.035156,0.000000
95		,0.023500,0.004883,0.004883,-0.035645,0.000000
96		,0.023750,0.000000,0.000000,-0.035645,0.000000
97		,0.024000,0.000000,0.000000,-0.035645,0.000000
98		,0.024250,0.000000,0.000000,-0.035645,0.000000
99		,0.024500,0.000000,0.000000,-0.035156,0.000000
100		,0.024750,0.000000,0.000000,-0.035156,0.000000
101		,0.025000,0.000000,0.000000,-0.035645,0.000000
102		,0.025250,0.000000,0.000000,-0.035156,0.000000
103		,0.025500,0.000000,0.000000,-0.035645,0.000000
104		,0.025750,0.000000,0.000000,-0.035645,0.000000
105		,0.026000,0.000000,0.000000,-0.036133,0.000000
106		,0.026250,0.000000,0.000000,-0.036621,-0.004883
107		,0.026500,0.000000,0.000000,-0.037109,0.000000
108		,0.026750,0.000000,0.000000,-0.036133,0.000000
109		,0.027000,0.000000,0.000000,-0.036621,0.000000
110		,0.027250,0.000000,0.000000,-0.036621,0.000000
111		,0.027500,0.000000,0.000000,-0.037109,-0.004883
112		,0.027750,-0.004883,0.000000,-0.037598,0.000000
113		,0.028000,0.000000,0.000000,-0.036621,0.000000
114		,0.028250,0.000000,0.000000,-0.036621,0.000000
115		,0.028500,0.000000,0.000000,-0.036621,0.000000
116		,0.028750,0.000000,0.000000,-0.036621,0.000000
117		,0.029000,0.000000,0.000000,-0.036133,0.000000
118		,0.029250,0.000000,0.000000,-0.036133,0.000000
119		,0.029500,0.000000,0.000000,-0.036133,-0.004883
120		,0.029750,0.000000,0.000000,-0.035645,0.000000
121		,0.030000,0.000000,0.000000,-0.035156,0.000000
122		,0.030250,0.000000,0.000000,-0.035156,0.000000
123		,0.030500,0.000000,0.000000,-0.035156,0.000000
124		,0.030750,0.000000,0.000000,-0.034668,0.000000
125		,0.031000,0.000000,0.004883,-0.036621,0.000000
126		,0.031250,0.000000,0.000000,-0.036621,-0.004883
127		,0.031500,0.000000,0.000000,-0.034668,-0.004883
128		,0.031750,-0.004883,-0.004883,-0.035645,0.000000
129		,0.032000,0.000000,0.000000,-0.035645,-0.004883
130		,0.032250,0.000000,0.000000,-0.035156,0.000000
131		,0.032500,0.000000,0.000000,-0.035645,0.000000
132		,0.032750,0.000000,0.000000,-0.034180,0.000000
133		,0.033000,0.000000,0.000000,-0.035156,-0.004883
134		,0.033250,0.000000,0.000000,-0.034668,0.000000
135		,0.033500,0.000000,0.000000,-0.034668,0.000000
136		,0.033750,0.000000,0.000000,-0.034668,-0.004883
137		,0.034000,0.000000,0.000000,-0.035645,0.000000
138		,0.034250,0.000000,0.000000,-0.035156,0.000000
139		,0.034500,0.000000,0.000000,-0.035156,0.000000
140		,0.034750,0.000000,0.000000,-0.036133,0.000000
141		,0.035000,0.000000,0.000000,-0.035156,0.000000
142		,0.035250,0.000000,0.000000,-0.034668,0.000000
143		,0.035500,0.000000,0.000000,-0.034668,0.000000
144		,0.035750,0.000000,0.000000,-0.034668,0.000000
145		,0.036000,0.000000,0.000000,-0.035156,0.000000
146		,0.036250,0.000000,0.000000,-0.035156,0.000000
147		,0.036500,0.000000,0.000000,-0.034668,-0.004883
148		,0.036750,0.000000,0.000000,-0.034180,0.000000
149		,0.037000,0.000000,0.000000,-0.033691,0.000000
150		,0.037250,0.000000,0.000000,-0.034180,0.000000
151		,0.037500,0.000000,0.000000,-0.033691,-0.004883
152		,0.037750,-0.004883,-0.004883,-0.034180,-0.004883
153		,0.038000,-0.004883,0.000000,-0.033691,0.000000
154		,0.038250,0.000000,0.000000,-0.034180,0.000000
155		,0.038500,0.000000,0.000000,-0.034668,0.000000
156		,0.038750,0.000000,0.000000,-0.034180,0.000000
157		,0.039000,0.000000,0.000000,-0.034668,-0.004883
158		,0.039250,0.000000,0.000000,-0.034668,0.000000
159		,0.039500,0.000000,0.000000,-0.035156,-0.004883
160		,0.039750,0.000000,0.000000,-0.035645,0.000000
161		,0.040000,0.000000,0.000000,-0.035645,0.000000
162		,0.040250,0.000000,0.000000,-0.036133,0.000000
163		,0.040500,0.000000,0.000000,-0.036621,0.000000
164		,0.040750,0.000000,0.000000,-0.035645,0.000000
165		,0.041000,0.000000,0.000000,-0.035645,0.000000
166		,0.041250,0.000000,0.000000,-0.035156,0.000000
167		,0.041500,0.000000,0.000000,-0.035156,0.000000
168		,0.041750,0.000000,0.000000,-0.036133,0.000000
169		,0.042000,0.000000,0.000000,-0.034180,0.000000
170		,0.042250,0.000000,0.000000,-0.035645,0.000000
171		,0.042500,0.000000,0.000000,-0.035645,0.000000
172		,0.042750,0.000000,0.000000,-0.034668,-0.004883
173		,0.043000,0.000000,0.000000,-0.035645,0.000000
174		,0.043250,0.000000,0.000000,-0.035645,-0.004883
175		,0.043500,0.000000,0.000000,-0.036133,0.000000
176		,0.043750,0.000000,0.000000,-0.035156,0.000000
177		,0.044000,0.000000,0.000000,-0.035645,0.000000
178		,0.044250,0.000000,0.000000,-0.034668,0.000000
179		,0.044500,0.000000,0.000000,-0.034668,0.000000
180		,0.044750,0.000000,0.000000,-0.035156,0.000000
181		,0.045000,0.000000,0.000000,-0.035156,0.000000
182		,0.045250,0.000000,0.000000,-0.035156,0.000000
183		,0.045500,0.000000,0.000000,-0.035645,0.000000
184		,0.045750,0.000000,0.000000,-0.035645,0.000000
185		,0.046000,-0.004883,0.000000,-0.035156,0.000000
186		,0.046250,0.000000,0.000000,-0.036133,0.000000
187		,0.046500,0.000000,0.000000,-0.036133,0.000000
188		,0.046750,0.000000,0.000000,-0.036621,0.000000
189		,0.047000,0.000000,0.000000,-0.036133,0.000000
190		,0.047250,0.000000,0.000000,-0.036621,0.000000
191		,0.047500,0.000000,0.000000,-0.036621,0.000000
192		,0.047750,0.004883,0.000000,-0.036621,-0.004883
193		,0.048000,0.000000,0.000000,-0.036133,0.000000
194		,0.048250,0.000000,0.000000,-0.036133,0.000000
195		,0.048500,0.000000,0.000000,-0.036133,0.000000
196		,0.048750,0.000000,0.000000,-0.036621,0.000000
197		,0.049000,0.000000,0.000000,-0.036133,0.000000
198		,0.049250,0.000000,0.000000,-0.035645,0.000000
199		,0.049500,0.000000,0.000000,-0.035645,0.000000
200		,0.049750,0.000000,0.000000,-0.035645,0.000000
201		,0.050000,0.000000,0.000000,-0.034668,0.000000
202		,0.050250,0.000000,0.000000,-0.034668,0.000000
203		,0.050500,0.000000,0.000000,-0.034668,0.000000
204		,0.050750,0.000000,0.000000,-0.034180,0.000000
205		,0.051000,0.000000,0.000000,-0.035645,0.000000
206		,0.051250,0.000000,0.000000,-0.035645,0.000000
207		,0.051500,0.000000,0.000000,-0.034668,0.000000
208		,0.051750,0.000000,0.000000,-0.035645,0.000000
209		,0.052000,0.000000,0.000000,-0.035156,0.000000
210		,0.052250,0.000000,0.000000,-0.035645,0.000000
211		,0.052500,0.000000,0.000000,-0.035156,0.000000
212		,0.052750,0.000000,0.000000,-0.035156,0.000000
213		,0.053000,0.000000,0.000000,-0.035156,0.000000
214		,0.053250,0.000000,0.000000,-0.034668,0.000000
215		,0.053500,0.000000,0.000000,-0.035645,0.000000
216		,0.053750,0.000000,0.000000,-0.034668,0.000000
217		,0.054000,0.000000,0.000000,-0.034668,0.000000
218		,0.054250,0.000000,0.000000,-0.035645,0.000000
