Nr		,t`s,Ch 00`V,Ch 01`V,Ch 02`V
224		,0.111500,-0.003051,0.199001,-0.000221
225		,0.112000,-0.004500,0.198598,-0.000382
226		,0.112500,-0.005627,0.200353,-0.000189
227		,0.113000,-0.006432,0.201464,-0.000060
228		,0.113500,-0.007560,0.202704,-0.000125
229		,0.114000,-0.007721,0.203976,0.000133
230		,0.114500,-0.007882,0.205328,0.000165
231		,0.115000,-0.007560,0.206535,-0.000157
232		,0.115500,-0.007721,0.207469,-0.000157
233		,0.116000,-0.008043,0.208306,-0.000253
234		,0.116500,-0.007721,0.209337,-0.000286
235		,0.117000,-0.007238,0.209224,0.000069
236		,0.117500,-0.007399,0.209417,-0.000157
237		,0.118000,-0.005788,0.208693,-0.000060
238		,0.118500,-0.004822,0.207083,-0.000221
239		,0.119000,-0.003373,0.205747,0.000101
240		,0.119500,-0.002246,0.203943,0.000101
241		,0.120000,-0.000957,0.201641,0.000036
242		,0.120500,-0.001279,0.198598,0.000004
243		,0.121000,-0.001923,0.198083,-0.000286
244		,0.121500,-0.003051,0.197745,-0.000028
245		,0.122000,-0.003212,0.198421,-0.000221
246		,0.122500,-0.005788,0.199178,-0.000286
247		,0.123000,-0.006755,0.200675,-0.000125
248		,0.123500,-0.007721,0.202366,-0.000318
249		,0.124000,-0.008204,0.203847,0.000004
250		,0.124500,-0.008365,0.205328,-0.000060
251		,0.125000,-0.008848,0.206648,-0.000028
252		,0.125500,-0.008365,0.207662,-0.000189
253		,0.126000,-0.009009,0.208564,-0.000157
254		,0.126500,-0.008526,0.209256,-0.000060
255		,0.127000,-0.007560,0.209611,-0.000253
256		,0.127500,-0.005627,0.209450,-0.000350
257		,0.128000,-0.004661,0.208967,-0.000253
258		,0.128500,-0.003695,0.207614,-0.000157
259		,0.129000,-0.002729,0.205972,-0.000189
260		,0.129500,-0.001440,0.204362,0.000004
261		,0.130000,-0.000313,0.201883,-0.000092
262		,0.130500,0.000009,0.200434,-0.000157
263		,0.131000,-0.001440,0.199210,-0.000253
264		,0.131500,-0.002890,0.199162,-0.000479
265		,0.132000,-0.004983,0.199387,-0.000189
266		,0.132500,-0.005466,0.200418,-0.000221
267		,0.133000,-0.006916,0.201577,0.000004
268		,0.133500,-0.007077,0.203042,0.000101
269		,0.134000,-0.007238,0.204040,0.000036
270		,0.134500,-0.007882,0.205151,0.000036
271		,0.135000,-0.008365,0.206568,-0.000221
272		,0.135500,-0.007238,0.207501,-0.000189
273		,0.136000,-0.007560,0.208194,-0.000092
274		,0.136500,-0.007560,0.209015,-0.000157
275		,0.137000,-0.007238,0.209353,0.000197
276		,0.137500,-0.006916,0.209111,-0.000060
277		,0.138000,-0.005305,0.208854,0.000004
278		,0.138500,-0.005305,0.207582,-0.000060
279		,0.139000,-0.003695,0.205779,-0.000060
280		,0.139500,-0.002568,0.203621,0.000036
281		,0.140000,-0.001118,0.201625,0.000004
282		,0.140500,-0.001440,0.198759,-0.000060
283		,0.141000,-0.002568,0.197632,-0.000028
284		,0.141500,-0.003212,0.197745,-0.000286
285		,0.142000,-0.004178,0.198083,-0.000092
286		,0.142500,-0.005627,0.199097,-0.000189
287		,0.143000,-0.006593,0.200595,-0.000125
288		,0.143500,-0.007721,0.202237,-0.000028
289		,0.144000,-0.008526,0.204314,-0.000157
290		,0.144500,-0.007882,0.205360,-0.000125
291		,0.145000,-0.009331,0.206632,-0.000092
292		,0.145500,-0.009492,0.207727,-0.000189
293		,0.146000,-0.008687,0.208854,-0.000157
294		,0.146500,-0.007721,0.209063,-0.000253
295		,0.147000,-0.007882,0.209723,-0.000253
296		,0.147500,-0.006271,0.209546,-0.000736
297		,0.148000,-0.004983,0.208870,-0.000221
298		,0.148500,-0.003051,0.207566,-0.000125
