Nr,t`s,Ch 00`V,Ch 01`V,Ch 02`V
159		,0.079000,-0.742042,-0.000511,0.352999
160		,0.079500,-0.110300,-0.000736,0.352355
161		,0.080000,0.463953,-0.000994,0.352194
162		,0.080500,1.074926,-0.000833,0.351711
163		,0.081000,1.601680,-0.000962,0.351067
164		,0.081500,2.094942,-0.000994,0.350423
165		,0.082000,2.584987,-0.000994,0.350101
166		,0.082500,3.018189,-0.000929,0.349940
167		,0.083000,3.393258,-0.000929,0.349618
168		,0.083500,3.604870,-0.000801,0.349296
169		,0.084000,3.751421,-0.000865,0.349457
170		,0.084500,3.807626,-0.001123,0.349296
171		,0.085000,3.796997,-0.000382,0.349457
172		,0.085500,3.758668,0.000004,0.349457
173		,0.086000,3.589249,-0.000189,0.350423
174		,0.086500,3.300980,-0.000189,0.350906
175		,0.087000,2.846840,0.000036,0.350423
176		,0.087500,2.332315,0.000197,0.350262
177		,0.088000,1.788324,0.000551,0.349618
178		,0.088500,1.190551,0.000165,0.348973
179		,0.089000,0.615810,0.000230,0.348973
180		,0.089500,-0.018510,0.000455,0.348812
181		,0.090000,-0.574887,0.000616,0.348490
182		,0.090500,-1.177964,0.000358,0.348007
183		,0.091000,-1.700845,0.000648,0.347846
184		,0.091500,-2.187011,0.000648,0.347685
185		,0.092000,-2.671246,0.000680,0.347524
186		,0.092500,-3.084466,0.000680,0.348490
187		,0.093000,-3.430052,0.000648,0.348973
188		,0.093500,-3.636663,0.000584,0.348812
189		,0.094000,-3.776605,0.000455,0.348973
190		,0.094500,-3.834740,0.000294,0.348812
191		,0.095000,-3.814932,0.000487,0.348329
192		,0.095500,-3.749229,0.000101,0.348329
193		,0.096000,-3.554373,-0.000157,0.347363
194		,0.096500,-3.233586,-0.000350,0.346719
195		,0.097000,-2.782361,-0.000446,0.346236
196		,0.097500,-2.262859,-0.000543,0.345431
197		,0.098000,-1.716465,-0.000318,0.345592
198		,0.098500,-1.114677,-0.000640,0.344787
199		,0.099000,-0.524805,-0.000801,0.344787
200		,0.099500,0.088095,-0.001155,0.343981
201		,0.100000,0.646085,-0.001090,0.344303
202		,0.100500,1.235641,-0.001155,0.344787
203		,0.101000,1.765778,-0.001026,0.343981
204		,0.101500,2.249057,-0.001026,0.343820
205		,0.102000,2.718973,-0.001026,0.344142
206		,0.102500,3.116747,-0.000929,0.343498
207		,0.103000,3.419186,-0.000833,0.343659
208		,0.103500,3.625967,-0.000801,0.343176
209		,0.104000,3.753676,-0.000736,0.343015
210		,0.104500,3.796353,-0.000575,0.342210
211		,0.105000,3.772357,-0.000414,0.341566
212		,0.105500,3.668644,-0.000253,0.341566
213		,0.106000,3.453811,-0.000318,0.341566
214		,0.106500,3.110305,-0.000092,0.341405
215		,0.107000,2.668084,0.000648,0.342371
216		,0.107500,2.141643,0.000230,0.343015
217		,0.108000,1.592179,-0.000028,0.342532
218		,0.108500,0.985873,0.000294,0.342371
219		,0.109000,0.380698,0.001195,0.342049
220		,0.109500,-0.210625,0.000455,0.341244
221		,0.110000,-0.765875,0.000197,0.340761
222		,0.110500,-1.344796,0.000519,0.340117
223		,0.111000,-1.864135,0.000648,0.339472
224		,0.111500,-2.347081,0.000712,0.338989
225		,0.112000,-2.790574,0.000584,0.338828
226		,0.112500,-3.173036,0.000519,0.338828
227		,0.113000,-3.452758,0.000648,0.338828
228		,0.113500,-3.660819,0.000584,0.338828
229		,0.114000,-3.787395,0.000423,0.339150
230		,0.114500,-3.815737,0.000358,0.339794
231		,0.115000,-3.782886,0.000294,0.340600
232		,0.115500,-3.632798,0.000004,0.342049
233		,0.116000,-3.395267,0.000036,0.341405
234		,0.116500,-3.044529,-0.000189,0.341566
235		,0.117000,-2.600068,-0.000286,0.342210
236		,0.117500,-2.076058,-0.000189,0.341888
237		,0.118000,-1.516621,-0.000511,0.342049
238		,0.118500,-0.909518,-0.000672,0.341888
239		,0.119000,-0.305636,-0.000929,0.342049
240		,0.119500,0.283110,-0.001026,0.342532
241		,0.120000,0.824353,-0.001090,0.342854
242		,0.120500,1.407629,-0.000897,0.343176
243		,0.121000,1.913451,-0.000962,0.343820
244		,0.121500,2.390933,-0.001090,0.344787
245		,0.122000,2.811733,-0.000994,0.345914
246		,0.122500,3.169730,-0.001123,0.347041
247		,0.123000,3.437062,-0.000897,0.347202
248		,0.123500,3.635308,-0.000736,0.347363
249		,0.124000,3.758990,-0.000640,0.347202
250		,0.124500,3.778316,-0.000607,0.346558
251		,0.125000,3.721789,-0.000511,0.346397
252		,0.125500,3.542868,-0.000125,0.345914
253		,0.126000,3.276341,0.000101,0.346075
254		,0.126500,2.932031,-0.000318,0.345914
255		,0.127000,2.480472,0.000069,0.346397
256		,0.127500,1.957736,-0.000157,0.346719
257		,0.128000,1.390237,0.000230,0.346558
258		,0.128500,0.771372,0.000519,0.346880
259		,0.129000,0.179403,0.000487,0.347846
260		,0.129500,-0.397426,0.000712,0.348007
261		,0.130000,-0.926266,0.000391,0.348812
262		,0.130500,-1.507281,0.000712,0.349296
263		,0.131000,-2.012126,0.000712,0.349618
264		,0.131500,-2.477198,0.000551,0.349618
265		,0.132000,-2.879627,0.000712,0.349779
266		,0.132500,-3.202989,0.000551,0.350101
267		,0.133000,-3.472726,0.000519,0.349779
268		,0.133500,-3.664200,0.000519,0.349618
269		,0.134000,-3.780470,0.000423,0.350101
270		,0.134500,-3.793031,0.000519,0.349940
271		,0.135000,-3.697535,0.000197,0.350584
272		,0.135500,-3.497687,0.000036,0.351067
273		,0.136000,-3.207659,-0.000253,0.351389
274		,0.136500,-2.870770,-0.000221,0.352194
